x ; y ; class
3102.331278 ;2150.999287 ;1
3102.505319 ;2150.599711 ;1
4127.223880 ;1877.682915 ;2
4624.213683 ;2854.525543 ;3
4624.889831 ;2851.705388 ;3
5610.065444 ;3331.813144 ;4
5611.200618 ;3332.263864 ;4
5612.204127 ;3331.085250 ;4
5345.192390 ;2030.296572 ;5
5312.106946 ;4371.928704 ;6
5311.835132 ;4371.905629 ;6
5312.559173 ;4369.895845 ;6
5312.144186 ;4371.917865 ;6
5313.101174 ;4371.689874 ;6
3436.730412 ;3143.550553 ;7
2744.237926 ;1135.572844 ;8
4269.124360 ;4338.814529 ;9
1969.810922 ;396.794674 ;10
1970.097710 ;398.770524 ;10
1970.335433 ;397.077732 ;10
1968.746411 ;399.793029 ;10
1970.378160 ;398.747088 ;10
1651.019212 ;1383.979273 ;11
1653.144713 ;1383.728293 ;11
4506.599451 ;5344.339467 ;12
4508.445705 ;5342.155003 ;12
4509.948885 ;5342.747762 ;12
962.127319 ;634.528586 ;13
964.012054 ;633.448499 ;13
964.972699 ;633.773525 ;13
2702.310446 ;3925.723372 ;14
2706.118263 ;3927.427272 ;14
2703.797288 ;3927.542074 ;14
5421.877066 ;5876.588651 ;15
3573.004540 ;5860.198154 ;16
3571.896483 ;5857.247984 ;16
1746.374681 ;4419.858366 ;17
1746.714108 ;4418.820760 ;17
1746.557811 ;4421.373870 ;17
1747.134965 ;4419.012652 ;17
2437.297518 ;5151.289484 ;18
2301.290737 ;2908.081772 ;19
1304.573536 ;2821.516414 ;20
1302.170798 ;2821.289961 ;20
339.079457 ;2530.764484 ;21
339.130123 ;2533.064173 ;21
340.369325 ;2534.936913 ;21
338.355024 ;2532.695532 ;21
4343.050952 ;839.902185 ;22
4340.282579 ;839.739722 ;22
451.105858 ;3626.072701 ;23
452.276146 ;3625.813722 ;23
451.630027 ;3625.959730 ;23
5513.979776 ;1043.296378 ;24
5514.221159 ;1043.917111 ;24
5514.247408 ;1040.934203 ;24
1656.798946 ;5876.322089 ;25
3264.218586 ;265.551590 ;26
3267.154418 ;267.353279 ;26
3265.532777 ;269.231801 ;26
793.569213 ;5301.950515 ;27
792.162891 ;5301.523536 ;27
791.960227 ;5302.687543 ;27
793.839213 ;5301.443865 ;27
791.817699 ;5300.705209 ;27
168.687709 ;1258.594964 ;28
170.133864 ;1257.319558 ;28
168.992584 ;1258.178669 ;28
5023.597923 ;59.084871 ;29
5023.757748 ;59.145586 ;29
5022.222296 ;58.756076 ;29
5021.173574 ;57.863173 ;29
5022.329437 ;59.369907 ;29
100.097192 ;4581.951056 ;30
99.910043 ;4582.524101 ;30
